"State","Year","Export_mil","Product","Export_percentage"
"Alabama",2000,568.804627838786,"Total exports",100
"Alabama",2001,665.350549285735,"Total exports",100
"Alabama",2002,525.214321827905,"Total exports",100
"Alabama",2003,718.859233649366,"Total exports",100
"Alabama",2004,721.410429285833,"Total exports",100
"Alabama",2005,770.540840050613,"Total exports",100
"Alabama",2006,698.05150429068,"Total exports",100
"Alabama",2007,844.234563434768,"Total exports",100
"Alabama",2008,1065.68985740964,"Total exports",100
"Alabama",2009,1029.86421676762,"Total exports",100
"Alabama",2010,1133.22042302033,"Total exports",100
"Alabama",2011,1417.4938530347,"Total exports",100
"Alabama",2012,1470.39402584682,"Total exports",100
"Alabama",2013,1563.12144254093,"Total exports",100
"Alabama",2014,1498.85847787715,"Total exports",100
"Alabama",2015,1206.2074600096,"Total exports",100
"Alabama",2016,1211.28719000909,"Total exports",100
"Alabama",2017,1288.00930939633,"Total exports",100
"Alabama",2018,1366.06358893374,"Total exports",100
"Alabama",2019,1378.18799226716,"Total exports",100
"Alabama",2020,1380.41634222965,"Total exports",100
"Alabama",2021,1550.80813244051,"Total exports",100
"Alabama",2022,1702.51473798922,"Total exports",100
"Alaska",2000,6.00881914162218,"Total exports",100
"Alaska",2001,6.57106151772131,"Total exports",100
"Alaska",2002,6.25869980365679,"Total exports",100
"Alaska",2003,8.18592892402956,"Total exports",100
"Alaska",2004,8.31747147040844,"Total exports",100
"Alaska",2005,9.69915579067855,"Total exports",100
"Alaska",2006,9.45304250231714,"Total exports",100
"Alaska",2007,10.2091358407609,"Total exports",100
"Alaska",2008,11.3040277868806,"Total exports",100
"Alaska",2009,10.9005731892176,"Total exports",100
"Alaska",2010,12.0657081760842,"Total exports",100
"Alaska",2011,13.2904196548089,"Total exports",100
"Alaska",2012,13.8971394070303,"Total exports",100
"Alaska",2013,13.7625724945809,"Total exports",100
"Alaska",2014,14.991636191006,"Total exports",100
"Alaska",2015,14.1733766064874,"Total exports",100
"Alaska",2016,14.5838406425433,"Total exports",100
"Alaska",2017,16.2455440981827,"Total exports",100
"Alaska",2018,17.2905004236722,"Total exports",100
"Alaska",2019,17.3097987245891,"Total exports",100
"Alaska",2020,17.1504483817747,"Total exports",100
"Alaska",2021,20.8919557267474,"Total exports",100
"Alaska",2022,20.6131544324012,"Total exports",100
"Arizona",2000,485.307683249348,"Total exports",100
"Arizona",2001,466.458251333098,"Total exports",100
"Arizona",2002,511.898093386727,"Total exports",100
"Arizona",2003,550.695182622332,"Total exports",100
"Arizona",2004,630.503991948419,"Total exports",100
"Arizona",2005,661.000850450707,"Total exports",100
"Arizona",2006,705.295782544315,"Total exports",100
"Arizona",2007,842.375375067278,"Total exports",100
"Arizona",2008,1030.37113444229,"Total exports",100
"Arizona",2009,866.35001363788,"Total exports",100
"Arizona",2010,1082.41573146321,"Total exports",100
"Arizona",2011,1527.46782752075,"Total exports",100
"Arizona",2012,1363.00058525346,"Total exports",100
"Arizona",2013,1403.03749781943,"Total exports",100
"Arizona",2014,1287.97104170197,"Total exports",100
"Arizona",2015,1266.7633941858,"Total exports",100
"Arizona",2016,1290.66839229481,"Total exports",100
"Arizona",2017,1501.59364590539,"Total exports",100
"Arizona",2018,1420.63078572481,"Total exports",100
"Arizona",2019,1525.23174598843,"Total exports",100
"Arizona",2020,1279.83509083528,"Total exports",100
"Arizona",2021,1382.21352307503,"Total exports",100
"Arizona",2022,1704.3423179389,"Total exports",100
"Arkansas",2000,1314.52466729856,"Total exports",100
"Arkansas",2001,1354.87882221111,"Total exports",100
"Arkansas",2002,1337.85993248362,"Total exports",100
"Arkansas",2003,1812.94120902695,"Total exports",100
"Arkansas",2004,1926.84254344344,"Total exports",100
"Arkansas",2005,1953.3855675403,"Total exports",100
"Arkansas",2006,2072.76680072773,"Total exports",100
"Arkansas",2007,2635.72088656857,"Total exports",100
"Arkansas",2008,3560.7423273345,"Total exports",100
"Arkansas",2009,2905.82568842436,"Total exports",100
"Arkansas",2010,3237.79954518536,"Total exports",100
"Arkansas",2011,3542.5101278533,"Total exports",100
"Arkansas",2012,4046.51546661889,"Total exports",100
"Arkansas",2013,4052.81479549258,"Total exports",100
"Arkansas",2014,3753.13335411303,"Total exports",100
"Arkansas",2015,3130.52216084309,"Total exports",100
"Arkansas",2016,2997.85911824724,"Total exports",100
"Arkansas",2017,3174.37279335332,"Total exports",100
"Arkansas",2018,2974.86190252608,"Total exports",100
"Arkansas",2019,3049.50593148533,"Total exports",100
"Arkansas",2020,3536.42621461403,"Total exports",100
"Arkansas",2021,3836.51073814784,"Total exports",100
"Arkansas",2022,4336.03677787253,"Total exports",100
"California",2000,6800.44333134855,"Total exports",100
"California",2001,7031.34200907246,"Total exports",100
"California",2002,7165.75835000214,"Total exports",100
"California",2003,7805.76665387142,"Total exports",100
"California",2004,8662.80990936506,"Total exports",100
"California",2005,9641.94212387147,"Total exports",100
"California",2006,10324.3336020054,"Total exports",100
"California",2007,11537.7698354201,"Total exports",100
"California",2008,13096.0925656312,"Total exports",100
"California",2009,12567.6195811059,"Total exports",100
"California",2010,14404.83324164,"Total exports",100
"California",2011,17199.7422902279,"Total exports",100
"California",2012,19005.117964206,"Total exports",100
"California",2013,22708.55453904,"Total exports",100
"California",2014,23334.6019365112,"Total exports",100
"California",2015,22690.5593869002,"Total exports",100
"California",2016,21655.0615453213,"Total exports",100
"California",2017,22487.4129225645,"Total exports",100
"California",2018,23345.178222809,"Total exports",100
"California",2019,23849.7364197816,"Total exports",100
"California",2020,22378.8161156065,"Total exports",100
"California",2021,23884.7456588607,"Total exports",100
"California",2022,24743.0867015721,"Total exports",100
"Colorado",2000,885.463432601594,"Total exports",100
"Colorado",2001,911.005939518846,"Total exports",100
"Colorado",2002,911.577320660581,"Total exports",100
"Colorado",2003,867.919749589411,"Total exports",100
"Colorado",2004,732.963241579052,"Total exports",100
"Colorado",2005,822.779837738404,"Total exports",100
"Colorado",2006,958.847964616329,"Total exports",100
"Colorado",2007,1279.34068691483,"Total exports",100
"Colorado",2008,1429.1451597446,"Total exports",100
"Colorado",2009,1204.9997707422,"Total exports",100
"Colorado",2010,1454.92349943202,"Total exports",100
"Colorado",2011,1882.60826457536,"Total exports",100
"Colorado",2012,1747.2154016334,"Total exports",100
"Colorado",2013,1646.35559016604,"Total exports",100
"Colorado",2014,1762.65479483164,"Total exports",100
"Colorado",2015,1630.89756978182,"Total exports",100
"Colorado",2016,1577.94453085802,"Total exports",100
"Colorado",2017,1737.95673967499,"Total exports",100
"Colorado",2018,1850.02762877328,"Total exports",100
"Colorado",2019,1818.45106910208,"Total exports",100
"Colorado",2020,1784.23649990127,"Total exports",100
"Colorado",2021,2168.59182644325,"Total exports",100
"Colorado",2022,2154.53463966896,"Total exports",100
"Connecticut",2000,148.415820976308,"Total exports",100
"Connecticut",2001,131.989575083218,"Total exports",100
"Connecticut",2002,143.826019787595,"Total exports",100
"Connecticut",2003,142.927164760746,"Total exports",100
"Connecticut",2004,139.028027974015,"Total exports",100
"Connecticut",2005,164.667823595708,"Total exports",100
"Connecticut",2006,176.109065122586,"Total exports",100
"Connecticut",2007,209.21604870461,"Total exports",100
"Connecticut",2008,216.154318772526,"Total exports",100
"Connecticut",2009,203.24089227732,"Total exports",100
"Connecticut",2010,232.625761703831,"Total exports",100
"Connecticut",2011,255.309071476665,"Total exports",100
"Connecticut",2012,269.489928941787,"Total exports",100
"Connecticut",2013,280.338086573599,"Total exports",100
"Connecticut",2014,284.348753303713,"Total exports",100
"Connecticut",2015,299.114525520545,"Total exports",100
"Connecticut",2016,280.566134242685,"Total exports",100
"Connecticut",2017,282.951741949228,"Total exports",100
"Connecticut",2018,271.415182540795,"Total exports",100
"Connecticut",2019,263.181308883972,"Total exports",100
"Connecticut",2020,261.603080980581,"Total exports",100
"Connecticut",2021,285.13771203802,"Total exports",100
"Connecticut",2022,285.809311524262,"Total exports",100
"Delaware",2000,130.26270142916,"Total exports",100
"Delaware",2001,147.764495736742,"Total exports",100
"Delaware",2002,121.877025628433,"Total exports",100
"Delaware",2003,120.61151107614,"Total exports",100
"Delaware",2004,136.797048057229,"Total exports",100
"Delaware",2005,140.856039062729,"Total exports",100
"Delaware",2006,137.797286040406,"Total exports",100
"Delaware",2007,187.334857718905,"Total exports",100
"Delaware",2008,243.225890813672,"Total exports",100
"Delaware",2009,234.100814845705,"Total exports",100
"Delaware",2010,244.977808314968,"Total exports",100
"Delaware",2011,271.840583637546,"Total exports",100
"Delaware",2012,314.388927892149,"Total exports",100
"Delaware",2013,309.258111557187,"Total exports",100
"Delaware",2014,322.108215728879,"Total exports",100
"Delaware",2015,257.159689169045,"Total exports",100
"Delaware",2016,255.079161998816,"Total exports",100
"Delaware",2017,261.590443586681,"Total exports",100
"Delaware",2018,264.195525119913,"Total exports",100
"Delaware",2019,260.351514851835,"Total exports",100
"Delaware",2020,296.059031379265,"Total exports",100
"Delaware",2021,324.199693792491,"Total exports",100
"Delaware",2022,353.698367274651,"Total exports",100
"Florida",2000,1895.19163379386,"Total exports",100
"Florida",2001,1849.05324602231,"Total exports",100
"Florida",2002,1793.86379477319,"Total exports",100
"Florida",2003,1877.40600961845,"Total exports",100
"Florida",2004,1868.76013656216,"Total exports",100
"Florida",2005,2079.27148259545,"Total exports",100
"Florida",2006,2263.77708884548,"Total exports",100
"Florida",2007,2586.68789101547,"Total exports",100
"Florida",2008,2879.5633672213,"Total exports",100
"Florida",2009,2630.33438838293,"Total exports",100
"Florida",2010,3017.6189873457,"Total exports",100
"Florida",2011,3400.84245100343,"Total exports",100
"Florida",2012,3738.142361828,"Total exports",100
"Florida",2013,3630.88850054591,"Total exports",100
"Florida",2014,3468.94333964818,"Total exports",100
"Florida",2015,3413.93039300129,"Total exports",100
"Florida",2016,3289.40097777851,"Total exports",100
"Florida",2017,3348.90621422885,"Total exports",100
"Florida",2018,3160.51707330389,"Total exports",100
"Florida",2019,3393.89703418977,"Total exports",100
"Florida",2020,3382.98498772825,"Total exports",100
"Florida",2021,3441.50679782444,"Total exports",100
"Florida",2022,3533.13145382551,"Total exports",100
"Georgia",2000,1521.04984539415,"Total exports",100
"Georgia",2001,1453.16762073358,"Total exports",100
"Georgia",2002,1190.30161764152,"Total exports",100
"Georgia",2003,1436.46426212602,"Total exports",100
"Georgia",2004,1532.66027649069,"Total exports",100
"Georgia",2005,1498.16231047207,"Total exports",100
"Georgia",2006,1545.03871094584,"Total exports",100
"Georgia",2007,1949.41506379899,"Total exports",100
"Georgia",2008,2277.2471481995,"Total exports",100
"Georgia",2009,2035.68226396738,"Total exports",100
"Georgia",2010,2516.67210720868,"Total exports",100
"Georgia",2011,3201.56321823502,"Total exports",100
"Georgia",2012,3173.075149008,"Total exports",100
"Georgia",2013,3443.1109157383,"Total exports",100
"Georgia",2014,2990.78337677538,"Total exports",100
"Georgia",2015,2781.15540930656,"Total exports",100
"Georgia",2016,2819.75785243524,"Total exports",100
"Georgia",2017,2770.93884343581,"Total exports",100
"Georgia",2018,2790.11496161639,"Total exports",100
"Georgia",2019,2734.97628827498,"Total exports",100
"Georgia",2020,2974.63216230603,"Total exports",100
"Georgia",2021,3201.89925790151,"Total exports",100
"Georgia",2022,3863.68664987582,"Total exports",100
"Hawaii",2000,148.974328948585,"Total exports",100
"Hawaii",2001,155.564070159022,"Total exports",100
"Hawaii",2002,150.757411554144,"Total exports",100
"Hawaii",2003,157.037037576954,"Total exports",100
"Hawaii",2004,161.932821651765,"Total exports",100
"Hawaii",2005,183.564922204442,"Total exports",100
"Hawaii",2006,196.380039146152,"Total exports",100
"Hawaii",2007,209.276517462385,"Total exports",100
"Hawaii",2008,279.841385563766,"Total exports",100
"Hawaii",2009,297.057804125136,"Total exports",100
"Hawaii",2010,330.020714561068,"Total exports",100
"Hawaii",2011,387.270090297042,"Total exports",100
"Hawaii",2012,406.793623563655,"Total exports",100
"Hawaii",2013,346.594523913805,"Total exports",100
"Hawaii",2014,389.8831415093,"Total exports",100
"Hawaii",2015,362.622890540749,"Total exports",100
"Hawaii",2016,343.337590739794,"Total exports",100
"Hawaii",2017,355.082172398386,"Total exports",100
"Hawaii",2018,317.711531251039,"Total exports",100
"Hawaii",2019,309.644280291983,"Total exports",100
"Hawaii",2020,304.07423286058,"Total exports",100
"Hawaii",2021,371.762921052133,"Total exports",100
"Hawaii",2022,349.623175844028,"Total exports",100
"Idaho",2000,711.982197982466,"Total exports",100
"Idaho",2001,733.698802559471,"Total exports",100
"Idaho",2002,765.019742824052,"Total exports",100
"Idaho",2003,716.100289489039,"Total exports",100
"Idaho",2004,772.081187789573,"Total exports",100
"Idaho",2005,816.609756674198,"Total exports",100
"Idaho",2006,920.686583966207,"Total exports",100
"Idaho",2007,1214.56409833835,"Total exports",100
"Idaho",2008,1490.87910142383,"Total exports",100
"Idaho",2009,1165.77145644173,"Total exports",100
"Idaho",2010,1491.8854636298,"Total exports",100
"Idaho",2011,2029.932138087,"Total exports",100
"Idaho",2012,2075.34032405815,"Total exports",100
"Idaho",2013,2256.70320070644,"Total exports",100
"Idaho",2014,2213.57605268896,"Total exports",100
"Idaho",2015,1836.71585631836,"Total exports",100
"Idaho",2016,1896.5912999598,"Total exports",100
"Idaho",2017,1976.11675283618,"Total exports",100
"Idaho",2018,2090.15253044961,"Total exports",100
"Idaho",2019,2210.59570903478,"Total exports",100
"Idaho",2020,2267.03623343735,"Total exports",100
"Idaho",2021,2578.39119713701,"Total exports",100
"Idaho",2022,2896.3184279334,"Total exports",100
"Illinois",2000,3115.33296683584,"Total exports",100
"Illinois",2001,3313.32929038438,"Total exports",100
"Illinois",2002,3376.60640427897,"Total exports",100
"Illinois",2003,3736.54632047201,"Total exports",100
"Illinois",2004,3776.29037233199,"Total exports",100
"Illinois",2005,3704.58024373691,"Total exports",100
"Illinois",2006,4101.50597972695,"Total exports",100
"Illinois",2007,5871.08300155156,"Total exports",100
"Illinois",2008,7678.99956526184,"Total exports",100
"Illinois",2009,6748.85579780908,"Total exports",100
"Illinois",2010,7579.21129227009,"Total exports",100
"Illinois",2011,8685.80630795384,"Total exports",100
"Illinois",2012,8810.13446839748,"Total exports",100
"Illinois",2013,7374.6721434639,"Total exports",100
"Illinois",2014,9416.42447504448,"Total exports",100
"Illinois",2015,7960.36435326881,"Total exports",100
"Illinois",2016,8233.90519977676,"Total exports",100
"Illinois",2017,8006.37280437494,"Total exports",100
"Illinois",2018,8531.85455046215,"Total exports",100
"Illinois",2019,7860.85955113392,"Total exports",100
"Illinois",2020,8756.90682761169,"Total exports",100
"Illinois",2021,11219.8145783717,"Total exports",100
"Illinois",2022,13690.1821704985,"Total exports",100
"Indiana",2000,1747.82699075734,"Total exports",100
"Indiana",2001,2031.26558218397,"Total exports",100
"Indiana",2002,1821.61591943703,"Total exports",100
"Indiana",2003,1865.47190007967,"Total exports",100
"Indiana",2004,2245.76393695771,"Total exports",100
"Indiana",2005,1904.52940637343,"Total exports",100
"Indiana",2006,2406.03420090146,"Total exports",100
"Indiana",2007,3256.02871660303,"Total exports",100
"Indiana",2008,4437.4204677745,"Total exports",100
"Indiana",2009,3850.70083331854,"Total exports",100
"Indiana",2010,4387.00713603875,"Total exports",100
"Indiana",2011,5064.94713213229,"Total exports",100
"Indiana",2012,5121.5576694824,"Total exports",100
"Indiana",2013,4599.7688575325,"Total exports",100
"Indiana",2014,5759.28002479873,"Total exports",100
"Indiana",2015,4679.28437582439,"Total exports",100
"Indiana",2016,4524.05366460848,"Total exports",100
"Indiana",2017,4734.48886387007,"Total exports",100
"Indiana",2018,4591.2169670607,"Total exports",100
"Indiana",2019,4539.38869900766,"Total exports",100
"Indiana",2020,5219.99108940485,"Total exports",100
"Indiana",2021,6659.43876452462,"Total exports",100
"Indiana",2022,7402.05159516263,"Total exports",100
"Iowa",2000,3479.4057794937,"Total exports",100
"Iowa",2001,3504.2626082116,"Total exports",100
"Iowa",2002,3939.58552381797,"Total exports",100
"Iowa",2003,4357.22216815539,"Total exports",100
"Iowa",2004,4250.05824021635,"Total exports",100
"Iowa",2005,4413.19924064494,"Total exports",100
"Iowa",2006,5283.69444450039,"Total exports",100
"Iowa",2007,6854.46601842014,"Total exports",100
"Iowa",2008,9891.19779258598,"Total exports",100
"Iowa",2009,8403.77013525662,"Total exports",100
"Iowa",2010,9466.25015447784,"Total exports",100
"Iowa",2011,10819.956047905,"Total exports",100
"Iowa",2012,11609.5972086401,"Total exports",100
"Iowa",2013,10394.1182291867,"Total exports",100
"Iowa",2014,11414.8793392444,"Total exports",100
"Iowa",2015,9902.69629243909,"Total exports",100
"Iowa",2016,10930.2692956469,"Total exports",100
"Iowa",2017,10290.1855434756,"Total exports",100
"Iowa",2018,10502.0654910556,"Total exports",100
"Iowa",2019,9971.5473234781,"Total exports",100
"Iowa",2020,11316.4795927599,"Total exports",100
"Iowa",2021,14281.6943140999,"Total exports",100
"Iowa",2022,16514.8201690135,"Total exports",100
"Kansas",2000,1949.50979066834,"Total exports",100
"Kansas",2001,1984.97959758201,"Total exports",100
"Kansas",2002,2043.05104503634,"Total exports",100
"Kansas",2003,2264.98752172494,"Total exports",100
"Kansas",2004,1903.92389828979,"Total exports",100
"Kansas",2005,2203.52454892304,"Total exports",100
"Kansas",2006,2329.26327432374,"Total exports",100
"Kansas",2007,3395.03617455193,"Total exports",100
"Kansas",2008,4075.44976073439,"Total exports",100
"Kansas",2009,3360.53410531926,"Total exports",100
"Kansas",2010,4476.41412821393,"Total exports",100
"Kansas",2011,4611.21095789048,"Total exports",100
"Kansas",2012,4304.85319972011,"Total exports",100
"Kansas",2013,4858.06977469478,"Total exports",100
"Kansas",2014,4640.23437125504,"Total exports",100
"Kansas",2015,4117.32689380658,"Total exports",100
"Kansas",2016,4672.7372470507,"Total exports",100
"Kansas",2017,4786.95917337319,"Total exports",100
"Kansas",2018,4845.92186246104,"Total exports",100
"Kansas",2019,4923.00947516178,"Total exports",100
"Kansas",2020,5814.73455428602,"Total exports",100
"Kansas",2021,7032.90147448537,"Total exports",100
"Kansas",2022,7230.61527637811,"Total exports",100
"Kentucky",2000,2488.07416676118,"Total exports",100
"Kentucky",2001,2133.84332504605,"Total exports",100
"Kentucky",2002,1634.03673392919,"Total exports",100
"Kentucky",2003,1685.99394157371,"Total exports",100
"Kentucky",2004,1707.13203802831,"Total exports",100
"Kentucky",2005,1759.31081961948,"Total exports",100
"Kentucky",2006,1856.39497415447,"Total exports",100
"Kentucky",2007,2051.7760039139,"Total exports",100
"Kentucky",2008,1653.74981425851,"Total exports",100
"Kentucky",2009,1526.77704072131,"Total exports",100
"Kentucky",2010,1686.04059850007,"Total exports",100
"Kentucky",2011,2002.10544944547,"Total exports",100
"Kentucky",2012,1971.79734296619,"Total exports",100
"Kentucky",2013,2620.02904705558,"Total exports",100
"Kentucky",2014,2682.32030371344,"Total exports",100
"Kentucky",2015,2273.76736922646,"Total exports",100
"Kentucky",2016,2217.6749636899,"Total exports",100
"Kentucky",2017,2237.16211997155,"Total exports",100
"Kentucky",2018,2360.17123455413,"Total exports",100
"Kentucky",2019,2229.23660183482,"Total exports",100
"Kentucky",2020,2343.55786948217,"Total exports",100
"Kentucky",2021,3130.5479339369,"Total exports",100
"Kentucky",2022,3289.31786926151,"Total exports",100
"Louisiana",2000,612.87365789797,"Total exports",100
"Louisiana",2001,605.059981033394,"Total exports",100
"Louisiana",2002,598.140728880541,"Total exports",100
"Louisiana",2003,794.191550722066,"Total exports",100
"Louisiana",2004,802.505050791946,"Total exports",100
"Louisiana",2005,784.325623769346,"Total exports",100
"Louisiana",2006,831.456809129457,"Total exports",100
